map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-ctr-base.encounter,corridor-hold,1,Victory,7,0,7,56,11,279,0,100,-1,,1,9,0,1885186347
gym-ctr-base.encounter,corridor-hold,2,Victory,7,0,7,56,6,301,0,71,-1,,1,9,0,2992933836
gym-ctr-base.encounter,corridor-hold,3,Victory,5,0,5,40,5,300,0,100,-1,,1,5,0,3297971073
gym-ctr-base.encounter,corridor-hold,4,Victory,7,0,7,56,0,294,0,114,-1,,1,7,0,4240919226
gym-ctr-base.encounter,corridor-hold,5,Victory,7,0,7,56,6,271,0,85,-1,,1,10,0,2441690923
gym-ctr-base.encounter,corridor-hold,6,Victory,5,0,5,40,0,278,0,120,-1,,1,6,0,3071616019
gym-ctr-base.encounter,corridor-hold,7,Victory,8,0,8,64,4,317,0,62,-1,,1,10,0,1911924452
gym-ctr-base.encounter,corridor-hold,8,Victory,8,0,8,64,6,257,0,100,-1,,1,12,0,2083025652
gym-ctr-base.encounter,corridor-hold,9,Victory,7,0,7,56,8,255,0,85,-1,,1,10,0,2991557715
gym-ctr-base.encounter,corridor-hold,10,Victory,5,0,5,40,0,331,0,100,-1,,1,4,0,248627349
gym-ctr-base.encounter,corridor-hold,11,Victory,7,0,7,56,6,271,0,85,-1,,1,10,0,2441690923
gym-ctr-base.encounter,corridor-hold,12,Victory,7,0,7,56,6,271,0,85,-1,,1,10,0,2441690923
gym-ctr-base.encounter,corridor-hold,13,Victory,8,0,8,64,8,316,0,62,-1,,1,10,0,1848474310
gym-ctr-base.encounter,corridor-hold,14,Victory,5,0,5,40,1,353,0,80,-1,,1,5,0,519236340
gym-ctr-base.encounter,corridor-hold,15,Victory,7,0,7,56,6,317,0,85,-1,,1,10,0,1305303938
gym-ctr-base.encounter,corridor-hold,16,Victory,5,0,5,40,0,287,0,140,-1,,1,5,0,653706280
gym-ctr-base.encounter,corridor-hold,17,Victory,7,0,7,56,5,317,0,71,-1,,1,9,0,1960968677
gym-ctr-base.encounter,corridor-hold,18,Victory,8,0,8,64,6,300,0,100,-1,,1,12,0,834191293
