map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-d1-routes.encounter,corridor-hold,1,Victory,10,0,10,160,24,350,0,25,7,1:7,0,11,0,3377116958
gym-d1-routes.encounter,corridor-hold,2,Victory,15,0,15,160,46,180,0,30,7,1:7,0,20,0,3083523520
gym-d1-routes.encounter,corridor-hold,3,Victory,9,0,9,144,27,453,0,16,-1,,0,9,0,2917563322
gym-d1-routes.encounter,corridor-hold,4,Victory,6,0,6,96,10,425,0,41,-1,,0,5,0,187487968
gym-d1-routes.encounter,corridor-hold,5,Victory,7,0,7,112,25,325,0,42,-1,,0,7,0,1199031591
gym-d1-routes.encounter,corridor-hold,6,Victory,7,0,7,96,22,280,0,41,-1,,0,4,0,2261977794
gym-d1-routes.encounter,corridor-hold,7,Victory,17,0,17,176,39,210,0,36,7,1:7,0,20,0,2133996069
gym-d1-routes.encounter,corridor-hold,8,Victory,21,0,21,200,33,230,0,28,7,1:7,0,28,0,3402305112
gym-d1-routes.encounter,corridor-hold,9,Victory,12,0,12,128,24,270,0,43,-1,,0,10,0,3199755213
gym-d1-routes.encounter,corridor-hold,10,Victory,14,0,14,152,30,280,0,21,7,1:7,0,12,0,796491681
gym-d1-routes.encounter,corridor-hold,11,Victory,19,0,19,192,39,250,0,25,7,1:7,0,25,0,1716126818
gym-d1-routes.encounter,corridor-hold,12,Victory,20,0,20,200,45,240,0,20,10,1:10,0,31,0,1744482865
gym-d1-routes.encounter,corridor-hold,13,Victory,9,0,9,144,19,435,0,11,2,1:2|2:5,0,6,0,3845934745
gym-d1-routes.encounter,corridor-hold,14,Victory,5,0,5,80,15,465,0,30,-1,,0,4,0,93527247
gym-d1-routes.encounter,corridor-hold,15,Victory,9,0,9,144,21,415,0,5,-1,,0,5,1,1356820641
gym-d1-routes.encounter,corridor-hold,16,Victory,13,0,13,152,37,260,0,26,7,1:7,0,11,0,2535033134
gym-d1-routes.encounter,corridor-hold,17,Victory,8,0,8,104,29,260,0,38,-1,,0,8,0,4226999018
gym-d1-routes.encounter,corridor-hold,18,Victory,8,0,8,128,17,465,0,12,2,1:2,0,5,1,1022621448
gym-d1-routes.encounter,corridor-hold,19,Victory,9,0,9,144,25,415,0,16,7,1:7,0,8,0,874763392
gym-d1-routes.encounter,corridor-hold,20,Victory,11,0,11,176,33,390,0,27,10,1:10|2:7,0,9,0,2218296326
gym-d1-routes.encounter,corridor-hold,21,Victory,7,0,7,112,21,325,0,35,-1,,0,5,0,269122300
gym-d1-routes.encounter,corridor-hold,22,Victory,16,0,16,168,38,220,0,23,7,1:7,0,24,0,3304539873
gym-d1-routes.encounter,corridor-hold,23,Victory,14,0,14,152,22,280,0,31,7,1:7,0,12,0,693258303
gym-d1-routes.encounter,corridor-hold,24,Victory,18,0,18,184,35,230,0,39,10,1:10,0,22,0,2708981912
gym-d1-routes.encounter,corridor-hold,25,Victory,6,0,6,96,9,384,0,33,2,1:2,0,4,0,901227334
gym-d1-routes.encounter,corridor-hold,26,Victory,10,0,10,160,31,387,0,15,6,2:6,0,8,0,1244232421
gym-d1-routes.encounter,corridor-hold,27,Victory,8,0,8,96,15,270,0,41,-1,,0,8,1,2169423289
gym-d1-routes.encounter,corridor-hold,28,Victory,19,0,19,184,31,260,0,30,2,2:2|1:7,0,30,0,3092685956
gym-d1-routes.encounter,corridor-hold,29,Victory,8,0,8,112,27,300,0,28,-1,,0,6,0,3606170463
gym-d1-routes.encounter,corridor-hold,30,Victory,7,0,7,112,15,365,0,28,-1,,0,4,0,3453460325
gym-d1-routes.encounter,corridor-hold,31,Victory,9,0,9,104,17,300,0,23,-1,,0,7,0,3983960801
gym-d1-routes.encounter,corridor-hold,32,Victory,8,0,8,128,6,465,0,12,-1,,0,6,0,86621161
gym-d1-routes.encounter,corridor-hold,33,Victory,26,0,26,248,63,220,0,19,7,1:7,0,36,0,3042051737
gym-d1-routes.encounter,corridor-hold,34,Victory,15,0,15,160,38,210,0,40,7,1:7,0,20,0,1583169650
gym-d1-routes.encounter,corridor-hold,35,Victory,14,0,14,168,39,280,0,38,7,1:7,0,14,0,1574084671
gym-d1-routes.encounter,corridor-hold,36,Victory,15,0,15,176,44,230,0,36,7,1:7,0,16,0,1941910861
gym-d1-routes.encounter,corridor-hold,37,Victory,6,0,6,96,22,365,0,41,-1,,0,5,0,2863794820
gym-d1-routes.encounter,corridor-hold,38,Victory,15,0,15,168,45,210,0,33,7,1:7,0,22,0,1577674602
gym-d1-routes.encounter,corridor-hold,39,Victory,7,0,7,112,24,355,0,21,-1,,0,3,0,4033979091
gym-d1-routes.encounter,corridor-hold,40,Victory,11,0,11,136,31,290,0,29,2,2:2,0,11,0,2939077634
gym-d1-routes.encounter,corridor-hold,41,Victory,7,0,7,112,15,395,0,35,-1,,0,3,0,381551700
gym-d1-routes.encounter,corridor-hold,42,Victory,8,0,8,96,21,260,0,33,-1,,0,9,0,3342155484
gym-d1-routes.encounter,corridor-hold,43,Victory,7,0,7,112,27,415,0,21,-1,,0,5,0,3667583506
gym-d1-routes.encounter,corridor-hold,44,Victory,24,0,24,232,48,270,0,20,7,1:7,0,31,0,2779306482
gym-d1-routes.encounter,corridor-hold,45,Victory,11,0,11,136,36,260,0,23,7,1:7,0,9,0,2772068126
gym-d1-routes.encounter,corridor-hold,46,Victory,6,0,6,96,12,405,0,41,-1,,0,4,0,4003851989
gym-d1-routes.encounter,corridor-hold,47,Victory,23,0,23,224,48,230,0,21,7,1:7,0,33,0,3351909442
gym-d1-routes.encounter,corridor-hold,48,Victory,10,0,10,128,24,280,0,37,7,1:7,0,9,0,2794104982
gym-d1-routes.encounter,corridor-hold,49,Victory,9,0,9,144,36,394,0,16,-1,,0,8,0,3807321568
gym-d1-routes.encounter,corridor-hold,50,Victory,6,0,6,96,13,455,0,8,2,1:2|2:5,0,2,0,2629067703
gym-d1-routes.encounter,corridor-hold,51,Victory,6,0,6,96,16,455,0,8,2,1:2|2:5,0,2,0,2743830427
gym-d1-routes.encounter,corridor-hold,52,Victory,15,0,15,160,31,250,0,25,-1,,0,18,0,2704518855
gym-d1-routes.encounter,corridor-hold,53,Victory,5,0,5,80,11,445,0,30,-1,,0,2,0,4194907011
gym-d1-routes.encounter,corridor-hold,54,Victory,7,0,7,112,14,364,0,35,2,1:2|2:5,0,5,0,3675028584
gym-d1-routes.encounter,corridor-hold,55,Victory,6,0,6,96,11,425,0,41,-1,,0,4,0,382174283
gym-d1-routes.encounter,corridor-hold,56,Victory,13,0,13,152,22,260,0,36,7,1:7,0,14,0,1022812495
gym-d1-routes.encounter,corridor-hold,57,Victory,9,0,9,144,31,435,0,11,2,1:2,0,7,0,663945276
gym-d1-routes.encounter,corridor-hold,58,Victory,7,0,7,96,16,290,0,50,-1,,0,5,0,3237225639
gym-d1-routes.encounter,corridor-hold,59,Victory,14,0,14,152,38,280,0,26,7,1:7,0,15,0,3027277573
gym-d1-routes.encounter,corridor-hold,60,Victory,6,0,6,96,10,444,0,16,-1,,0,4,0,2835929989
